ref_area.label,sex.label,classif1.label,time,obs_value
Australia,Female,"Occupation (ISCO-08), 2 digit level: 81 - Stationary plant and machine operators",2024,74.157
Australia,Female,"Occupation (ISCO-08), 2 digit level: 82 - Assemblers",2024,6.337
Australia,Female,"Occupation (ISCO-08), 2 digit level: 83 - Drivers and mobile plant operators",2024,45.617
Australia,Female,"Occupation (ISCO-08), 2 digit level: 91 - Cleaners and helpers",2024,131.082
Australia,Female,"Occupation (ISCO-08), 2 digit level: 92 - Agricultural, forestry and fishery labourers",2024,30.564
Australia,Female,"Occupation (ISCO-08), 2 digit level: 93 - Labourers in mining, construction, manufacturing and transport",2024,95.294
Australia,Female,"Occupation (ISCO-08), 2 digit level: 94 - Food preparation assistants",2024,101.0
Australia,Female,"Occupation (ISCO-08), 2 digit level: 96 - Refuse workers and other elementary workers",2024,16.173
Australia,Male,"Occupation (ISCO-08), 2 digit level: 11 - Chief executives, senior officials and legislators",2023,91.514
Australia,Male,"Occupation (ISCO-08), 2 digit level: 12 - Administrative and commercial managers",2023,231.123
Australia,Male,"Occupation (ISCO-08), 2 digit level: 13 - Production and specialised services managers",2023,398.083
Australia,Male,"Occupation (ISCO-08), 2 digit level: 14 - Hospitality, retail and other services managers",2023,249.728
Australia,Male,"Occupation (ISCO-08), 2 digit level: 21 - Science and engineering professionals",2023,330.796
Australia,Male,"Occupation (ISCO-08), 2 digit level: 22 - Health professionals",2023,198.817
Australia,Male,"Occupation (ISCO-08), 2 digit level: 23 - Teaching professionals",2023,184.953
Australia,Male,"Occupation (ISCO-08), 2 digit level: 24 - Business and administration professionals",2023,355.366
Australia,Male,"Occupation (ISCO-08), 2 digit level: 25 - Information and communications technology professionals",2023,292.537
Australia,Male,"Occupation (ISCO-08), 2 digit level: 26 - Legal, social and cultural professionals",2023,156.116
Australia,Male,"Occupation (ISCO-08), 2 digit level: 31 - Science and engineering associate professionals",2023,179.955
Australia,Male,"Occupation (ISCO-08), 2 digit level: 32 - Health associate professionals",2023,65.289
Australia,Male,"Occupation (ISCO-08), 2 digit level: 33 - Business and administration associate professionals",2023,357.548
Australia,Male,"Occupation (ISCO-08), 2 digit level: 34 - Legal, social, cultural and related associate professionals",2023,189.746
Australia,Male,"Occupation (ISCO-08), 2 digit level: 35 - Information and communications technicians",2023,62.299
Australia,Male,"Occupation (ISCO-08), 2 digit level: 41 - General and keyboard clerks",2023,57.086
Australia,Male,"Occupation (ISCO-08), 2 digit level: 42 - Customer services clerks",2023,78.208
Australia,Male,"Occupation (ISCO-08), 2 digit level: 43 - Numerical and material recording clerks",2023,155.842
