e,c,C,F,a,d,y,f,p,s,r,t,u
2465,SPAIN,Spain,/flags/flag_spain.png,Spanish Data Protection Authority (aepd),2024-08-06,2024.0,1000.0,Private individual,Individuals and Private Associations,Art. 6 (1) GDPR,Insufficient legal basis for data processing,https://www.aepd.es/documento/ps-00001-2023.pdf
2466,POLAND,Poland,/flags/flag_poland.png,Polish National Personal Data Protection Office (UODO),2024-08-30,2024.0,4500.0,Unknown,Not assigned,"Art. 31 GDPR, Art. 58 (1) a), e) GDPR",Insufficient cooperation with supervisory authority,https://www.uodo.gov.pl/decyzje/DOKE.561.4.2024
2467,POLAND,Poland,/flags/flag_poland.png,Polish National Personal Data Protection Office (UODO),2024-07-10,2024.0,5000.0,Unknown,Not assigned,"Art. 31 GDPR, Art. 58 (1) a), e) GDPR",Insufficient cooperation with supervisory authority,https://www.uodo.gov.pl/decyzje/DOKE.561.1.2024.
2468,POLAND,Poland,/flags/flag_poland.png,Polish National Personal Data Protection Office (UODO),2024-06-13,2024.0,9200.0,Healthcare facility,Health Care,"Art. 24 (1) GDPR, Art. 25 (1) GDPR, Art. 32 (1), (2) GDPR, Art. 34 (1) GDPR",Insufficient technical and organisational measures to ensure information security,https://www.uodo.gov.pl/decyzje/DKN.5131.57.2022
2469,IRELAND,Ireland,/flags/flag_ireland.png,Data Protection Authority of Ireland,2024-10-24,2024.0,310000000.0,LinkedIn,"Media, Telecoms and Broadcasting","Art. 5 (1) a) GDPR, Art. 6 (1) a), e), f) GDPR, Art. 13 (1) c) GDPR, Art. 14 (1) c) GDPR",Insufficient legal basis for data processing,https://dataprotection.ie/en/news-media/press-releases/irish-data-protection-commission-fines-linkedin-ireland-eu310-million
2470,ROMANIA,Romania,/flags/flag_romania.png,Romanian National Supervisory Authority for Personal Data Processing (ANSPDCP),2024-10-16,2024.0,3000.0,Your Consulting SRL,Not assigned,"Art. 25 (1) GDPR, Art. 32 (1) a). b) GDPR, Art. 32 (2) GDPR",Insufficient technical and organisational measures to ensure information security,https://www.dataprotection.ro/?page=Comunicat_Presa_16_10_2024&lang=ro
2471,ROMANIA,Romania,/flags/flag_romania.png,Romanian National Supervisory Authority for Personal Data Processing (ANSPDCP),2024-10-23,2024.0,10000.0,Profi Rom Food SRL,Employment,"Art. 5 (1) a) GDPR, Art. 5 (2) GDPR, Art. 6 (1) GDPR",Insufficient legal basis for data processing,https://www.dataprotection.ro/?page=Comunicat_Presa_23_10_2024&lang=ro
2472,ROMANIA,Romania,/flags/flag_romania.png,Romanian National Supervisory Authority for Personal Data Processing (ANSPDCP),2024-10-28,2024.0,5000.0,Vodafone Romania S.A.,"Media, Telecoms and Broadcasting",Art. 32 GDPR,Insufficient technical and organisational measures to ensure information security,https://www.dataprotection.ro/index.jsp?page=Comunicat_Presa_28_10_2024&lang=ro
2473,SPAIN,Spain,/flags/flag_spain.png,Spanish Data Protection Authority (aepd),2024-10-22,2024.0,180000.0,"IBERCAJA BANCO, S.A.","Finance, Insurance and Consulting",Art. 6 (1) GDPR,Insufficient legal basis for data processing,https://www.aepd.es/documento/ps-00380-2024.pdf
2474,ITALY,Italy,/flags/flag_italy.png,Italian Data Protection Authority (Garante),2024-07-04,2024.0,900000.0,Postel S.p.A,Not assigned,"Art. 5 (1) f) GDPR, Art. 25 GDPR, Art. 32 GDPR, Art. 33 GDPR",Insufficient technical and organisational measures to ensure information security,https://www.garanteprivacy.it/home/docweb/-/docweb-display/docweb/10066116
2475,ITALY,Italy,/flags/flag_italy.png,Italian Data Protection Authority (Garante),2024-09-12,2024.0,5000.0,Top Quality Corporation s.r.l.s.,Employment,"Art. 12 (3) GDPR, Art. 15 GDPR",Insufficient fulfilment of data subjects rights,https://www.gpdp.it/web/guest/home/docweb/-/docweb-display/docweb/10065911
2476,ITALY,Italy,/flags/flag_italy.png,Italian Data Protection Authority (Garante),2024-09-12,2024.0,400.0,Private individual,Individuals and Private Associations,"Art. 5 (1) a) GDPR, Art. 6 GDPR",Insufficient legal basis for data processing,https://www.gpdp.it/web/guest/home/docweb/-/docweb-display/docweb/10065894
