primary_country,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,>15
Iceland,0.06451612903225806,0.06451612903225806,0.08064516129032258,0.04838709677419355,0.03225806451612903,0.03225806451612903,0.11290322580645161,0.03225806451612903,0.04838709677419355,0.03225806451612903,0.016129032258064516,0.03225806451612903,0.0,0.04838709677419355,0.016129032258064516,0.016129032258064516,0.3225806451612903
India,0.05555555555555555,0.11666666666666667,0.12777777777777777,0.1111111111111111,0.05555555555555555,0.06666666666666667,0.08333333333333333,0.016666666666666666,0.044444444444444446,0.03333333333333333,0.016666666666666666,0.0,0.005555555555555556,0.044444444444444446,0.022222222222222223,0.016666666666666666,0.18333333333333332
Indonesia,0.0,0.1702127659574468,0.0425531914893617,0.10638297872340426,0.0851063829787234,0.0851063829787234,0.0851063829787234,0.06382978723404255,0.02127659574468085,0.02127659574468085,0.0,0.0,0.02127659574468085,0.02127659574468085,0.0,0.0,0.2765957446808511
Iran,0.0,0.034482758620689655,0.13793103448275862,0.0,0.06896551724137931,0.0,0.06896551724137931,0.034482758620689655,0.13793103448275862,0.034482758620689655,0.034482758620689655,0.0,0.06896551724137931,0.034482758620689655,0.0,0.0,0.3448275862068966
Ireland,0.02197802197802198,0.13736263736263737,0.12087912087912088,0.08241758241758242,0.07142857142857142,0.08791208791208792,0.03296703296703297,0.02197802197802198,0.06043956043956044,0.054945054945054944,0.016483516483516484,0.01098901098901099,0.02197802197802198,0.03296703296703297,0.02197802197802198,0.038461538461538464,0.16483516483516483
Israel,0.15630252100840336,0.3176470588235294,0.17142857142857143,0.09411764705882353,0.0773109243697479,0.02857142857142857,0.030252100840336135,0.021848739495798318,0.011764705882352941,0.02689075630252101,0.0067226890756302525,0.005042016806722689,0.0067226890756302525,0.0033613445378151263,0.0016806722689075631,0.0067226890756302525,0.03361344537815126
Italy,0.03337612323491656,0.17073170731707318,0.1668806161745828,0.08985879332477535,0.11424903722721438,0.06290115532734275,0.05006418485237484,0.04236200256739409,0.04749679075738126,0.043645699614890884,0.01668806161745828,0.01668806161745828,0.028241335044929396,0.02053915275994865,0.008985879332477536,0.014120667522464698,0.07317073170731707
Japan,0.15296052631578946,0.3092105263157895,0.18174342105263158,0.09375,0.05592105263157895,0.039473684210526314,0.032072368421052634,0.018092105263157895,0.015625,0.023026315789473683,0.009868421052631578,0.009868421052631578,0.009046052631578948,0.006578947368421052,0.003289473684210526,0.003289473684210526,0.03618421052631579
Kazakhstan,0.0,0.043478260869565216,0.043478260869565216,0.0,0.043478260869565216,0.043478260869565216,0.0,0.043478260869565216,0.043478260869565216,0.043478260869565216,0.13043478260869565,0.0,0.043478260869565216,0.13043478260869565,0.043478260869565216,0.0,0.34782608695652173
Kenya,0.0,0.11538461538461539,0.1346153846153846,0.11538461538461539,0.057692307692307696,0.07692307692307693,0.057692307692307696,0.057692307692307696,0.11538461538461539,0.019230769230769232,0.038461538461538464,0.0,0.0,0.0,0.019230769230769232,0.0,0.19230769230769232
Lithuania,0.05,0.15,0.15,0.05,0.05,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.45
Luxembourg,0.0,0.15384615384615385,0.15384615384615385,0.15384615384615385,0.038461538461538464,0.07692307692307693,0.07692307692307693,0.11538461538461539,0.0,0.0,0.0,0.07692307692307693,0.0,0.0,0.0,0.0,0.15384615384615385
MO,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5
Malaysia,0.0,0.11363636363636363,0.045454545454545456,0.022727272727272728,0.06818181818181818,0.022727272727272728,0.022727272727272728,0.022727272727272728,0.022727272727272728,0.11363636363636363,0.022727272727272728,0.045454545454545456,0.0,0.06818181818181818,0.022727272727272728,0.0,0.38636363636363635
Mali,0.0,0.08333333333333333,0.25,0.25,0.08333333333333333,0.25,0.0,0.08333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Massachusetts  USA,0.0,0.3333333333333333,0.1111111111111111,0.3333333333333333,0.2222222222222222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mexico,0.008620689655172414,0.06896551724137931,0.15517241379310345,0.06896551724137931,0.09482758620689655,0.08620689655172414,0.06896551724137931,0.017241379310344827,0.08620689655172414,0.02586206896551724,0.008620689655172414,0.017241379310344827,0.02586206896551724,0.034482758620689655,0.017241379310344827,0.008620689655172414,0.20689655172413793
Mongolia,0.0,0.05263157894736842,0.05263157894736842,0.10526315789473684,0.05263157894736842,0.05263157894736842,0.0,0.0,0.05263157894736842,0.0,0.10526315789473684,0.0,0.0,0.15789473684210525,0.0,0.0,0.3684210526315789
Morocco,0.0,0.0,0.09523809523809523,0.047619047619047616,0.19047619047619047,0.0,0.047619047619047616,0.09523809523809523,0.09523809523809523,0.047619047619047616,0.0,0.047619047619047616,0.0,0.047619047619047616,0.0,0.0,0.2857142857142857
New Zealand,0.019736842105263157,0.18421052631578946,0.07894736842105263,0.17763157894736842,0.046052631578947366,0.05921052631578947,0.07236842105263158,0.019736842105263157,0.02631578947368421,0.02631578947368421,0.013157894736842105,0.019736842105263157,0.03289473684210526,0.03289473684210526,0.02631578947368421,0.006578947368421052,0.15789473684210525
Nigeria,0.0,0.08,0.04,0.08,0.04,0.12,0.0,0.0,0.04,0.0,0.08,0.04,0.08,0.0,0.0,0.04,0.36
