Growth Rate of Per Capita GDP at constant 2020 prices in US Dollars (all countries),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CountryID,Country,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
132,Cabo Verde,3.2,1.2,0.8,1.5,-17.8,0.9,-6.0,8.5,2.1,4.0,6.9,1.3,7.9,2.3,7.1,1.4,2.9,4.5,4.1,-1.4,-1.0,0.7,5.0,4.8,5.5,4.8,5.8,6.7,10.2,5.7,5.8,5.0,4.6,4.3,6.6,10.2,8.8,5.9,-2.4,1.1,3.6,1.0,0.6,0.7,0.9,4.2,4.5,3.6,6.8,-20.9,6.6,15.2,4.9,6.8
116,Cambodia,-4.7,-6.2,-19.7,-5.8,1.7,7.3,-7.7,8.8,-10.7,-7.7,-1.6,-2.8,0.7,1.2,1.2,-0.2,16.5,11.9,-3.9,-3.0,3.2,1.4,-2.0,0.4,-2.3,-3.0,-1.4,1.8,11.2,8.9,5.7,4.6,8.6,7.9,11.7,9.3,8.8,5.9,2.4,3.5,5.7,6.0,6.3,6.4,5.7,6.3,6.6,7.4,6.6,-5.0,1.6,3.7,3.7,4.7
120,Cameroon,0.2,0.2,2.0,0.7,1.0,-8.0,10.8,18.7,3.1,8.4,3.6,4.9,6.2,5.1,-0.7,-8.1,-8.4,-6.6,-2.1,-5.2,-2.7,-2.0,-2.1,-0.9,0.1,1.4,1.8,2.0,1.8,1.1,1.6,1.7,2.6,4.1,-0.6,1.0,1.4,-0.1,-0.3,0.0,0.5,1.7,2.1,2.6,2.4,1.5,0.6,1.1,0.6,-2.4,0.6,1.0,0.7,0.9
124,Canada,1.9,3.9,5.4,1.9,0.1,4.5,2.3,2.7,2.6,0.9,2.1,-4.3,1.5,4.8,3.7,1.0,2.8,2.9,0.7,-1.3,-3.4,-0.3,1.5,3.4,1.6,0.6,3.3,3.0,4.2,4.1,0.8,1.9,0.8,2.1,2.2,1.6,1.0,-0.1,-4.0,2.0,2.1,0.7,1.3,1.9,-0.3,0.0,1.8,1.4,0.6,-6.0,5.2,3.7,0.7,0.9
136,Cayman Islands,-2.2,2.0,8.2,4.2,4.5,4.8,5.2,5.6,5.7,5.2,4.8,4.9,8.2,2.9,-0.8,3.6,5.2,10.0,4.8,8.3,-3.5,-1.7,0.0,0.7,0.4,0.7,1.3,25.4,-0.3,-2.6,-2.9,-1.7,-1.3,-2.3,3.2,1.5,-2.1,-1.0,-9.8,-5.4,-1.6,-1.5,-1.3,0.1,0.4,0.9,0.9,2.0,1.8,-6.8,2.7,3.6,3.7,1.1
140,Central African Republic,-5.0,-3.9,2.5,-4.8,-0.1,2.9,6.9,0.2,-3.5,-5.5,0.4,0.6,-7.2,5.9,2.1,2.3,-6.2,0.4,-0.1,-4.6,-1.9,-4.4,-3.5,1.9,2.3,-9.9,3.2,1.8,3.1,-0.8,-1.6,-2.8,-9.2,0.6,0.1,2.6,2.0,0.4,3.5,5.5,2.6,4.0,-36.8,0.5,4.2,2.9,2.8,2.0,1.7,-0.7,-0.7,0.7,-0.4,-1.9
148,Chad,-0.2,-8.9,-7.1,11.1,14.7,-3.5,-9.2,-2.3,-23.1,-6.3,-10.9,0.5,10.1,3.7,6.8,2.8,0.1,4.1,-1.6,0.4,0.1,-2.0,-4.0,3.3,-3.0,-2.3,2.1,3.3,-3.9,-3.9,7.8,4.8,9.8,27.8,3.7,-3.1,16.2,-0.1,7.5,13.4,-1.3,7.4,4.1,5.3,0.7,-7.4,-3.6,2.2,2.1,-3.5,-3.1,0.6,-0.6,-0.1
152,Chile,7.2,-2.8,-7.1,-0.6,-14.3,1.9,8.2,6.6,6.7,6.4,4.7,-14.8,-4.2,4.3,0.4,4.0,4.9,5.6,8.8,2.0,6.2,10.5,5.3,4.1,9.0,5.9,6.0,2.8,-1.5,3.7,2.0,2.1,3.6,5.6,4.8,5.0,4.1,2.8,-2.1,4.8,5.2,5.1,2.3,0.8,1.1,0.5,-0.2,2.1,-1.0,-7.0,10.8,1.6,0.0,2.1
156,China,4.4,1.4,5.6,0.3,6.8,-3.1,6.1,10.2,6.1,6.3,3.6,7.3,9.1,13.6,11.7,7.2,9.7,9.3,2.5,2.2,7.7,12.9,12.7,11.9,9.9,9.0,8.3,7.0,6.9,7.7,7.6,8.4,9.4,9.5,10.7,12.0,13.5,9.0,8.7,9.9,8.8,7.1,7.0,6.8,6.4,6.2,6.3,6.3,5.7,2.2,8.5,3.2,5.6,5.2
344,"China, Hong Kong SAR",0.6,7.2,9.5,-0.1,-1.9,13.4,9.2,5.9,9.2,7.8,7.1,1.2,4.3,8.3,-0.7,9.9,12.7,8.0,1.8,3.5,4.4,3.8,3.6,3.6,0.1,2.2,3.2,-7.4,1.0,6.2,-0.5,1.0,2.5,8.2,7.1,6.7,5.9,1.4,-3.1,6.2,4.2,0.9,2.2,2.0,1.7,1.6,3.3,2.5,-1.9,-6.6,6.5,-3.4,3.5,2.9
